task,seed,method,stage10_method_alias,epochs,learning_rate,support_aux_weight,target_attention_aux_weight,support_route_weight,optimizer,training_tasks,support_classes,task_train_row_count,multitask_train_row_count,train_row_count,validation_row_count,test_row_count,final_training_loss,learned_position_scale,learned_copy_gate,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_mean_top1_confidence,train_expected_calibration_error,train_mean_copy_gate,train_support_accuracy,train_mean_target_attention,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_mean_top1_confidence,validation_expected_calibration_error,validation_mean_copy_gate,validation_support_accuracy,validation_mean_target_attention,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_mean_top1_confidence,test_expected_calibration_error,test_mean_copy_gate,test_support_accuracy,test_mean_target_attention
exact_offset_passkey,307,rope_relative,rope,10,0.03,0.7,0.6,1.0,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.204925,1.299774,0.85773,2.533795,12.601243,0.666667,0.808333,0.087415,0.093382,0.573285,0.85773,1.0,0.06666,3.104707,22.302693,0.333333,0.468254,0.046443,0.060156,0.273177,0.85773,1.0,0.038351,3.427136,30.788326,0.166667,0.317626,0.035128,0.053674,0.112993,0.85773,1.0,0.029267
tiny_text_fact_qa,307,rope_relative,rope,10,0.03,0.7,0.6,1.0,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.204925,1.299774,0.85773,2.250299,9.490573,0.916667,0.958333,0.107552,0.108554,0.808113,0.85773,1.0,0.085233,2.63649,13.964102,0.5,0.75,0.072269,0.075692,0.424308,0.85773,1.0,0.057114,2.856972,17.408734,0.5,0.736111,0.059146,0.0649,0.452765,0.85773,1.0,0.043448
phase_cued_retrieval,307,phasewrap_bias,phasewrap_bias,10,0.03,0.7,0.6,1.0,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,5.454653,0.702076,0.857903,1.263762,3.538708,0.75,0.875,0.289156,0.298266,0.451734,0.857903,0.833333,0.022047,1.488392,4.429965,0.833333,0.888889,0.236542,0.239327,0.594006,0.857903,0.666667,0.013206,1.468469,4.34258,0.75,0.875,0.234862,0.245988,0.53384,0.857903,0.916667,0.009661
exact_offset_passkey,307,phasewrap_bias,phasewrap_bias,10,0.03,0.7,0.6,1.0,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,5.454653,0.702076,0.857903,3.355513,28.66031,0.083333,0.210595,0.043095,0.112928,0.134836,0.857903,1.0,0.02388,4.009867,55.139547,0.0,0.063386,0.019868,0.100677,0.100677,0.857903,1.0,0.013216,4.205729,67.069478,0.083333,0.160608,0.020203,0.065111,0.03535,0.857903,1.0,0.009454
tiny_text_fact_qa,307,phasewrap_bias,phasewrap_bias,10,0.03,0.7,0.6,1.0,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,5.454653,0.702076,0.857903,3.229886,25.27678,0.0,0.12907,0.040411,0.130811,0.130811,0.857903,1.0,0.031124,3.655498,38.686792,0.0,0.096468,0.02642,0.104013,0.104013,0.857903,1.0,0.018854,3.886276,48.729071,0.0,0.076034,0.021625,0.095132,0.095132,0.857903,1.0,0.013759
phase_cued_retrieval,307,phasewrap_adapter,phasewrap_adapter,10,0.03,0.7,0.6,1.0,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,5.403774,0.702206,0.857897,1.260693,3.527867,0.75,0.875,0.290204,0.299997,0.450003,0.857897,0.833333,0.022893,1.518109,4.563589,0.833333,0.875,0.231507,0.237263,0.59607,0.857897,0.666667,0.012965,1.47703,4.37992,0.75,0.861111,0.233285,0.245612,0.535882,0.857897,0.916667,0.009226
exact_offset_passkey,307,phasewrap_adapter,phasewrap_adapter,10,0.03,0.7,0.6,1.0,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,5.403774,0.702206,0.857897,3.315093,27.52496,0.083333,0.217036,0.044534,0.11414,0.030806,0.857897,1.0,0.025035,3.982183,53.633979,0.0,0.0676,0.020179,0.101453,0.101453,0.857897,1.0,0.01391,4.169837,64.704926,0.166667,0.204294,0.020624,0.065185,0.101481,0.857897,1.0,0.009988
tiny_text_fact_qa,307,phasewrap_adapter,phasewrap_adapter,10,0.03,0.7,0.6,1.0,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,5.403774,0.702206,0.857897,3.20613,24.683382,0.0,0.132642,0.041354,0.132086,0.132086,0.857897,1.0,0.032237,3.627915,37.634264,0.0,0.098016,0.027058,0.104073,0.104073,0.857897,1.0,0.01979,3.865798,47.741353,0.0,0.077196,0.021938,0.093812,0.093812,0.857897,1.0,0.014408
phase_cued_retrieval,311,no_position,no_position,10,0.03,0.7,0.6,1.0,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.608699,1.0,0.857655,1.39789,4.046651,0.833333,0.916667,0.251545,0.25922,0.574114,0.857655,0.916667,0.047181,1.423356,4.151029,0.5,0.75,0.245316,0.2821,0.2179,0.857655,0.833333,0.024031,1.525772,4.598694,0.75,0.875,0.219336,0.233599,0.516401,0.857655,0.916667,0.018626
exact_offset_passkey,311,no_position,no_position,10,0.03,0.7,0.6,1.0,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.608699,1.0,0.857655,2.924888,18.632138,0.166667,0.406581,0.057206,0.078083,0.124811,0.857655,1.0,0.048496,3.696996,40.325977,0.0,0.065792,0.025581,0.057672,0.057672,0.857655,1.0,0.025839,3.937979,51.31481,0.083333,0.131358,0.020891,0.051523,0.049058,0.857655,1.0,0.018918
tiny_text_fact_qa,311,no_position,no_position,10,0.03,0.7,0.6,1.0,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.608699,1.0,0.857655,2.618419,13.71402,0.583333,0.709127,0.078627,0.087496,0.495837,0.857655,1.0,0.059487,2.953514,19.173208,0.333333,0.541667,0.056399,0.07061,0.262724,0.857655,1.0,0.034762,3.221568,25.067403,0.333333,0.480355,0.044467,0.060268,0.292554,0.857655,1.0,0.024779
phase_cued_retrieval,311,sinusoidal,sinusoidal,10,0.03,0.7,0.6,1.0,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,3.225675,1.299274,0.857818,1.385882,3.99835,0.916667,0.958333,0.251614,0.253241,0.663426,0.857818,1.0,0.13544,1.407392,4.085285,0.5,0.75,0.246601,0.277781,0.222219,0.857818,1.0,0.047978,1.49289,4.449936,0.833333,0.916667,0.225628,0.23783,0.595503,0.857818,1.0,0.02482
exact_offset_passkey,311,sinusoidal,sinusoidal,10,0.03,0.7,0.6,1.0,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,3.225675,1.299274,0.857818,1.958987,7.092139,1.0,1.0,0.144232,0.144232,0.855768,0.857818,1.0,0.151335,2.563427,12.980224,0.833333,0.916667,0.077457,0.078564,0.75477,0.857818,1.0,0.087846,2.887361,17.945883,0.416667,0.663194,0.057021,0.06636,0.368265,0.857818,1.0,0.061681
tiny_text_fact_qa,311,sinusoidal,sinusoidal,10,0.03,0.7,0.6,1.0,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,3.225675,1.299274,0.857818,1.706833,5.511479,1.0,1.0,0.188481,0.188481,0.811519,0.857818,1.0,0.176172,2.082407,8.023756,1.0,1.0,0.127096,0.127096,0.872904,0.857818,1.0,0.113745,2.354701,10.534976,0.916667,0.958333,0.099316,0.099615,0.817052,0.857818,1.0,0.080475
phase_cued_retrieval,311,alibi,alibi,10,0.03,0.7,0.6,1.0,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.640535,0.705836,0.85764,1.395972,4.038897,0.833333,0.902778,0.253512,0.262464,0.57087,0.85764,0.833333,0.048685,1.426897,4.165752,0.5,0.75,0.245244,0.281796,0.218204,0.85764,1.0,0.020584,1.519822,4.571409,0.833333,0.916667,0.220407,0.234357,0.598976,0.85764,1.0,0.014874
exact_offset_passkey,311,alibi,alibi,10,0.03,0.7,0.6,1.0,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.640535,0.705836,0.85764,2.952762,19.158796,0.083333,0.322961,0.0554,0.0823,0.056421,0.85764,1.0,0.047455,3.775102,43.601952,0.0,0.070439,0.023809,0.05554,0.05554,0.85764,1.0,0.024454,3.970501,53.011081,0.083333,0.132254,0.020183,0.053979,0.029354,0.85764,1.0,0.018919
tiny_text_fact_qa,311,alibi,alibi,10,0.03,0.7,0.6,1.0,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.640535,0.705836,0.85764,2.715944,15.11888,0.333333,0.518981,0.071658,0.084025,0.249309,0.85764,1.0,0.054519,3.041391,20.934344,0.5,0.55787,0.051675,0.067016,0.432984,0.85764,1.0,0.031764,3.281035,26.603301,0.166667,0.346756,0.042708,0.061827,0.122633,0.85764,1.0,0.023623
phase_cued_retrieval,311,rope_relative,rope,10,0.03,0.7,0.6,1.0,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.204387,1.299784,0.857745,1.391916,4.022548,0.833333,0.916667,0.251495,0.256543,0.576791,0.857745,0.916667,0.064351,1.427267,4.167293,0.5,0.75,0.242451,0.275831,0.224169,0.857745,1.0,0.026857,1.50516,4.504875,0.833333,0.916667,0.223224,0.236897,0.596436,0.857745,1.0,0.016343
exact_offset_passkey,311,rope_relative,rope,10,0.03,0.7,0.6,1.0,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.204387,1.299784,0.857745,2.642909,14.054033,0.416667,0.638889,0.074179,0.084666,0.332001,0.857745,1.0,0.068626,3.334328,28.059532,0.0,0.197884,0.036252,0.059481,0.059481,0.857745,1.0,0.038585,3.547766,34.735615,0.166667,0.269361,0.029942,0.05226,0.114407,0.857745,1.0,0.029652
tiny_text_fact_qa,311,rope_relative,rope,10,0.03,0.7,0.6,1.0,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.204387,1.299784,0.857745,2.368206,10.678221,0.75,0.836111,0.099584,0.104259,0.645741,0.857745,1.0,0.081579,2.725812,15.268802,0.5,0.680556,0.068307,0.075413,0.424587,0.857745,1.0,0.050522,2.966495,19.423725,0.416667,0.585417,0.054894,0.062947,0.372914,0.857745,1.0,0.037641
phase_cued_retrieval,311,phasewrap_bias,phasewrap_bias,10,0.03,0.7,0.6,1.0,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,5.487975,0.702147,0.85767,1.415543,4.118723,0.833333,0.888889,0.250621,0.268967,0.564367,0.85767,0.833333,0.023996,1.507332,4.514669,0.333333,0.638889,0.230113,0.285349,0.114639,0.85767,0.666667,0.012404,1.553069,4.725953,0.666667,0.794444,0.217269,0.237208,0.429459,0.85767,0.75,0.009512
exact_offset_passkey,311,phasewrap_bias,phasewrap_bias,10,0.03,0.7,0.6,1.0,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,5.487975,0.702147,0.85767,3.457244,31.729397,0.0,0.109125,0.034248,0.107184,0.107184,0.85767,1.0,0.024257,4.152452,63.5897,0.0,0.06853,0.020993,0.084414,0.084414,0.85767,1.0,0.013218,4.476666,87.940982,0.0,0.044537,0.013414,0.075029,0.075029,0.85767,1.0,0.009538
tiny_text_fact_qa,311,phasewrap_bias,phasewrap_bias,10,0.03,0.7,0.6,1.0,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,5.487975,0.702147,0.85767,3.087419,21.920424,0.166667,0.262137,0.051666,0.10851,0.058157,0.85767,1.0,0.028764,3.182548,24.108093,0.166667,0.254735,0.050102,0.087658,0.21214,0.85767,1.0,0.019062,3.598018,36.525779,0.0,0.127804,0.031613,0.081081,0.081081,0.85767,1.0,0.012871
phase_cued_retrieval,311,phasewrap_adapter,phasewrap_adapter,10,0.03,0.7,0.6,1.0,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,5.440785,0.702258,0.857716,1.397266,4.04413,0.833333,0.888889,0.254617,0.271095,0.562239,0.857716,0.833333,0.025002,1.487622,4.426557,0.5,0.722222,0.233306,0.284609,0.224408,0.857716,0.833333,0.012157,1.537584,4.653333,0.666667,0.798611,0.219325,0.236565,0.430101,0.857716,0.75,0.009136
exact_offset_passkey,311,phasewrap_adapter,phasewrap_adapter,10,0.03,0.7,0.6,1.0,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,5.440785,0.702258,0.857716,3.435281,31.040146,0.0,0.111351,0.034775,0.107717,0.107717,0.857716,1.0,0.025463,4.115235,61.266632,0.0,0.06986,0.021233,0.084361,0.084361,0.857716,1.0,0.01392,4.424742,83.491225,0.0,0.048936,0.014056,0.074729,0.074729,0.857716,1.0,0.010105
tiny_text_fact_qa,311,phasewrap_adapter,phasewrap_adapter,10,0.03,0.7,0.6,1.0,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,5.440785,0.702258,0.857716,3.076505,21.682492,0.083333,0.222455,0.052173,0.10961,0.050918,0.857716,1.0,0.029792,3.177582,23.98868,0.166667,0.255429,0.050327,0.088221,0.17866,0.857716,1.0,0.019751,3.600557,36.618621,0.0,0.132274,0.031372,0.080455,0.080455,0.857716,1.0,0.01336
phase_cued_retrieval,313,no_position,no_position,10,0.03,0.7,0.6,1.0,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.751332,1.0,0.8576,1.374255,3.95213,0.833333,0.916667,0.259109,0.266262,0.567071,0.8576,1.0,0.043302,1.573972,4.825779,0.5,0.708333,0.211751,0.239235,0.374577,0.8576,0.833333,0.025152,1.523807,4.589663,0.75,0.854167,0.227623,0.236561,0.513439,0.8576,0.833333,0.018591
exact_offset_passkey,313,no_position,no_position,10,0.03,0.7,0.6,1.0,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.751332,1.0,0.8576,3.105328,22.316542,0.083333,0.341865,0.046833,0.06773,0.015603,0.8576,1.0,0.044547,3.395491,29.829297,0.166667,0.323913,0.035685,0.05997,0.106696,0.8576,1.0,0.026973,3.723482,41.408334,0.0,0.135717,0.025882,0.05015,0.05015,0.8576,1.0,0.018425
tiny_text_fact_qa,313,no_position,no_position,10,0.03,0.7,0.6,1.0,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.751332,1.0,0.8576,2.75161,15.667832,0.166667,0.418056,0.066714,0.085281,0.081386,0.8576,1.0,0.049661,3.171674,23.84736,0.166667,0.314087,0.043443,0.063122,0.103544,0.8576,1.0,0.032782,3.440361,31.198223,0.083333,0.231884,0.033498,0.054265,0.029069,0.8576,1.0,0.02371
phase_cued_retrieval,313,sinusoidal,sinusoidal,10,0.03,0.7,0.6,1.0,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,3.372961,1.299369,0.857793,1.337881,3.810959,0.75,0.875,0.269241,0.278851,0.471149,0.857793,0.833333,0.125182,1.549788,4.710472,0.5,0.75,0.216117,0.24568,0.362286,0.857793,0.666667,0.047639,1.53242,4.629368,0.666667,0.8125,0.22383,0.233736,0.43293,0.857793,0.75,0.025715
exact_offset_passkey,313,sinusoidal,sinusoidal,10,0.03,0.7,0.6,1.0,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,3.372961,1.299369,0.857793,2.11522,8.29141,1.0,1.0,0.121762,0.121762,0.878238,0.857793,1.0,0.135299,2.445671,11.538285,0.833333,0.916667,0.087851,0.091159,0.742174,0.857793,1.0,0.086273,2.76086,15.813434,0.583333,0.75,0.065771,0.072433,0.5109,0.857793,1.0,0.060172
tiny_text_fact_qa,313,sinusoidal,sinusoidal,10,0.03,0.7,0.6,1.0,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,3.372961,1.299369,0.857793,1.8579,6.41026,1.0,1.0,0.158114,0.158114,0.841886,0.857793,1.0,0.143945,2.218929,9.197475,1.0,1.0,0.109588,0.109588,0.890412,0.857793,1.0,0.101285,2.544947,12.742557,0.916667,0.958333,0.079174,0.08004,0.836627,0.857793,1.0,0.073572
phase_cued_retrieval,313,alibi,alibi,10,0.03,0.7,0.6,1.0,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.767979,0.704952,0.857587,1.352246,3.866097,0.75,0.875,0.268078,0.276677,0.473323,0.857587,0.916667,0.042761,1.653699,5.226276,0.166667,0.441667,0.203007,0.256011,0.254191,0.857587,0.5,0.021999,1.594906,4.927866,0.5,0.627778,0.219522,0.243118,0.405166,0.857587,0.5,0.014868
exact_offset_passkey,313,alibi,alibi,10,0.03,0.7,0.6,1.0,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.767979,0.704952,0.857587,3.086639,21.903336,0.083333,0.308466,0.047142,0.071149,0.030432,0.857587,1.0,0.04433,3.380532,29.386396,0.0,0.245228,0.036663,0.062366,0.062366,0.857587,1.0,0.028322,3.698544,40.388456,0.0,0.152171,0.026171,0.049265,0.049265,0.857587,1.0,0.018874
tiny_text_fact_qa,313,alibi,alibi,10,0.03,0.7,0.6,1.0,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.767979,0.704952,0.857587,2.810201,16.613265,0.166667,0.364683,0.062924,0.090346,0.07632,0.857587,1.0,0.0473,3.244627,25.652137,0.166667,0.285119,0.040346,0.061725,0.104941,0.857587,1.0,0.032137,3.506981,33.347436,0.083333,0.217654,0.031396,0.054007,0.029326,0.857587,1.0,0.022634
